queryid	query	source	rank	top	bottom	score	url	result_height
42	韩剧步步惊心丽	baidu	4	1139.15625	1373.15625	0	http://ly626.com/	6996
3	全民大学霸	baidu	5	604	748	0	http://m.00ksw.com/html/22/22257/	1075
48	罪恶成魔	sm	1	6	350	0	http://m.00ksw.com/html/33/33506/	1051
13	拔罐之后皮肤很黑是什么情况	haosou	3	368	559	0	http://m.120ask.com/askg/posts_detail/19642445	480
13	拔罐之后皮肤很黑是什么情况	haosou	1	6	197	0	http://m.120ask.com/askg/posts_detail/30616952	480
50	下面痒是怎么回事	sogou	3	586	817	0	http://m.120ask.com/askg/posts_detail/61624662	480
50	下面痒是怎么回事	sogou	2	322	579	0	http://m.120ask.com/askg/posts_detail/62416861	480
50	下面痒是怎么回事	baidu	4	599	743	0	http://m.120ask.com/shilu/8wy6vtlyawkim7pe	480
31	果糖的主要功能	sm	3	407	707	0	http://m.120ask.com/yangsheng/info/60719.html	480
48	罪恶成魔	sogou	2	467	609	0	http://m.123du.cc/dudu-34/1219652/	-1
20	梦见失去工作	baidu	4	469	610	0	http://m.12ky.com/c/astro/30655.html	4628
20	梦见失去工作	sm	5	706	847	0	http://m.12ky.com/c/astro/30655.html	4628
31	果糖的主要功能	sm	2	272	401	0	http://m.1398.org/wenda/hkplinniqornqrqo_1.html	2578
5	提现到挂失的银行卡里怎么办	sm	4	764	913	0	http://m.1398.org/wenda/hlmrrllnrnoiqipr_1.html	3545
5	提现到挂失的银行卡里怎么办	sm	3	609	758	0	http://m.1398.org/wenda/hlnnlhkknhoimhmm_1.html	3616
41	一级建造师注册网	haosou	5	1374.75	1557.75	0	http://m.233.com/jzs1/zhuce/all/20140211/084844555.html	8087
3	全民大学霸	sm	4	655	853	0	http://m.23wx.com/book/56634	300
42	韩剧步步惊心丽	sm	4	2573	2736	0	http://m.246ys.com/16hj/8853/index.html	300
49	大乐透	haosou	3	429	625	0	http://m.500.com/info/article/6/	1426
1	走路软件	sm	5	1329	1473	0	http://m.5577.com/d/72162	3513
28	光头强动画片全集	haosou	3	474	607	0	http://m.56.com/?refer1=http%3A%2F%2Fsbs.m.sogou.com%2Fnewfile.php%3Ftask%3D2834%26id%3D1547648%26site%3Dhaosou%26at%3Dbase	6455
28	光头强动画片全集	sm	5	1072	1197	0	http://m.56.com/view/id-MTAyODYzNTM4.html	-1
30	腾讯电脑管家	sogou	4	769	907	0	http://m.700zj.com/app/42564.html	2290
22	天天向商软件官方下载	sogou	4	619	783	0	http://m.700zj.com/app/70221.html	1972
3	全民大学霸	sogou	4	924	1066	0	http://m.81zw.com/book/11203/	1915
48	罪恶成魔	sogou	4	790	932	0	http://m.81zw.com/book/18976/	1795
36	比萨斜塔	sogou	5	1462	1603	0	http://m.83133.com/doc/226457_4.html	4644
6	中国新歌声主题曲	baidu	1	10	154	0	http://m.86kx.com/html/2016/0712/100835.html	3808
13	拔罐之后皮肤很黑是什么情况	baidu	4	514	658	0	http://m.99.com.cn/a/574716/	5729
3	全民大学霸	haosou	1	10	130	0	http://m.999wx.com/3g/book/show.aspx?id=33137&lmid=0&uid=0&ups=0	1156
1	走路软件	sogou	2	412	577	0	http://m.9ht.com/w/19193	4193
16	闵行区农业银行	sogou	2	442	607	0	http://m.aibang.com/shanghai/xingqu_nonghang/	3431
16	闵行区农业银行	baidu	5	916.5625	1060.5625	0	http://m.aibang.com/shanghai/xingqu_nonghang/	3431
18	海南碧桂园	sm	2	175	526	0	http://m.amap.com/?q=%E6%B5%B7%E5%8D%97%E7%A2%A7%E6%A1%82%E5%9B%AD&city=%E6%B5%B7%E5%8D%97%E7%9C%81&view=list&src=sm	300
16	闵行区农业银行	sm	2	141	692	0	http://m.amap.com/?q=%E9%97%B5%E8%A1%8C%E5%8C%BA%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C&city=%E4%B8%8A%E6%B5%B7%E5%B8%82&view=list&src=sm	300
39	青岛职业技术学院	sm	5	870.671875	1421.671875	0	http://m.amap.com/search/mapview/__q=%E9%9D%92%E5%B2%9B%E8%81%8C%E4%B8%9A%E6%8A%80%E6%9C%AF%E5%AD%A6%E9%99%A2&src=sm&city=%E9%9D%92%E5%B2%9B%E5%B8%82&keywords=%E9%9D%92%E5%B2%9B%E8%81%8C%E4%B8%9A%E6%8A%80%E6%9C%AF%E5%AD%A6%E9%99%A2#!/search/mapview/__q=%E9%9D%92%E5%B2%9B%E8%81%8C%E4%B8%9A%E6%8A%80%E6%9C%AF%E5%AD%A6%E9%99%A2&src=sm&city=%E9%9D%92%E5%B2%9B%E5%B8%82&keywords=%E9%9D%92%E5%B2%9B%E8%81%8C%E4%B8%9A%E6%8A%80%E6%9C%AF%E5%AD%A6%E9%99%A2	300
45	绿地集团	sm	5	758	1309	0	http://m.amap.com/search/view/__q=%E7%BB%BF%E5%9C%B0%E9%9B%86%E5%9B%A2&src=sm&city=%E5%8C%97%E4%BA%AC&keywords=%E7%BB%BF%E5%9C%B0%E9%9B%86%E5%9B%A2#!/search/view/__q=%E7%BB%BF%E5%9C%B0%E9%9B%86%E5%9B%A2&src=sm&city=%E5%8C%97%E4%BA%AC&keywords=%E7%BB%BF%E5%9C%B0%E9%9B%86%E5%9B%A2	300
10	wipe cache partition	haosou	1	6	200	0	http://m.android.tgbus.com/arc/389489.shtml	3094
10	wipe cache partition	sogou	1	54	219	0	http://m.android.tgbus.com/tgmobile/arc/389489.shtml	3094
10	wipe cache partition	baidu	2	268	412	0	http://m.android.tgbus.com/tgmobile/arc/389489.shtml	3094
34	海马s5	baidu	4	1112.75	1256.75	0	http://m.autohome.com.cn/3214/	6514
34	海马s5	sm	1	6	247	0	http://m.autohome.com.cn/3214/#pvareaid=2225103	7104
34	海马s5	sm	2	253	556	0	http://m.autohome.com.cn/spec/26018/#pvareaid=2225104	3742
32	上海商学院志愿者服务网	baidu	3	298	495.71875	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=12237275488501868356&order=3&fm=alop&tj=7tX_3_0_10_l1&w_qd=IlPT2AEptyoA_yk663obzfOxCiFSb7Qbr6UYehbS6eY7POk6V6-aupThjw_&sec=15314&di=de7547d3ec8e09ee&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPKxBsIknyu0WEeaAV2qBdixmcaaXjwdfm_hACAG_1Mag2lQgOHGnV5pqmg7Rwfg2Z9F3IoB79Kz_37su-8rsXZc2os8sb5g7S6rMaFVY4y1FeZnFqT1EkJD-KqGOzI9v7zr89jLo8uBu_xCYOBmURUEyMLbxrh8tJ2L23IpnJzK2bSF2RNZ-vUQihdHPeFHAGJ9NOvZJ-CmSd_3mF_9zmitq0ZFnwgF1PM7P59I4WJJRf1J9y0NhBSvwOSGbAoHLTXq3wi3Ssqh55ZTygHRfau2W0ECkUZE3XvaqGhQU6jmWL5KbmjpWNfCK_jWNpZPvRPH8p7qGnvn2LZs-awNbqMuQEGJwNgPizriE5SjlkwH5POgVa57kYG-jKb3EqgR7HlRAXz4Cwijs00MQHeAQb81HUbnmepqoiaxYz9YNz-EOB-lJxqlFFy3kz9d_uQMSOTIM4zyBIWlxHui3iruSDdrpqVl9bWRPGp4rwH1FUbngE8Oa	-1
18	海南碧桂园	baidu	3	369	592	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=8537050434111200654&order=3&fm=alop&tj=7tX_3_0_10_l1&w_qd=IlPT2AEptyoA_ykzyRUcxhOv4UJVc9AnrVe&sec=15310&di=c5c9ae3a7c88b87a&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPNxBsIkXKu0WFX8gV2qBdixmcaanzwdfn5gQCAG_1Mag2lQbCHGnU2tKmg7Rocg2Z9Ft1oB79Ozq37sudursXZcOMs8sb9hGS6rPLvVY4yWmaZnFqX2kkJD-G9GOzIaP7zr8-OHo8uBtq5CYOBmXNUEyYduBrgbaMZJgXRwC9oFN7bFMJS4l7YNSt1Gey8XNqOjRSDY5MYyyEjLn1R9XDjgLCFJHVPChzR64s5GP3DV1jPIovB0s1DqgXeJ0soHr0Hqe-9OG-ic5-lVy5IQeK9RWfSGZY-INX6rBelLX6njl49RrnOkDtaH1K6TesZ_xwAH5wIvFbwidnZwSaxOrvfr0Fq	-1
27	美国神婆	baidu	5	636	840	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=8993598920424958328&order=5&fm=alop&tj=7tX_5_0_10_title&w_qd=IlPT2AEptyoA_yky5e9cs47v3jlSa9O&sec=15312&di=de38afea2747c1c3&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPNxBsIkkGu0WEebAV2qBdlxmca9kvwdfm_6wCAG_1Kag2lCgOHGnV6t_mg7Rwfg2Z9F25oB7-jz_37su-trsXZc31s8sbzeWS6rMaAVY4yWlaZnFqU1UkJD-KrGOzIaPazr8-KII8uBu_5CYOBsERUEyNjaRrh8_QVL20-8S924g4AYwE9Y6SCNCJyXazrSdea6cCTE9FCrnxwL7F_9H8keei2IHpVYBO3z457JPqCHhv1GJyBK2oWdd_4HwwfILfFruFvRWtjdk-pTiw2RPGu	-1
22	天天向商软件官方下载	baidu	3	318	540	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=9027201130042370590&order=3&fm=alop&tj=4rE_3_0_10_l1&w_qd=IlPT2AEptyoA_yk57Acc8umxDzRSp9Qay6oZfffVrA1sKxUzM6hnzYi&sec=15312&di=ef2e1b96acda40c1&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPNxBsIkkGu0WEebAV2qBdlxmca9kvwdfm_6gCAG_1Kag2lCgWHGnV5oKmg7Rwhg2Z9F21oB7-jyev9hw6bu1_pbcYf71O1dH37s4OQYoO9E5aDqpm8TYpLNXLvMuvHdsmiknouGpqdRxXlCYLwei2EYCdivw4f8uNIPNWEmyoyLtn6FBVSZ9mIAy5OXv8rSdec6MyIU-M-oyAn4HR1-HjjgeGIIXxPWBeJz397JqjGExuuFTy_OqdTqbOTCQsiDQ4GvtluKVpmh5NlYiAEMsKzNj7WGZtHINXvrBfULXwWjl4-Rw4MkIZbH1KzTeti_qQDH5wIvG0rie4OwSawOwSZrApwF0hnLpiKn8kt	-1
41	一级建造师注册网	baidu	5	582	765	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=9048655230355338855&order=5&fm=alop&tj=7tX_5_0_10_l1&w_qd=IlPT2AEptyoA_yk663Aa5OOx2F6OkmInzjsXheXV6BMtU4y&sec=15320&di=1d822d38e3d14ac3&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPKxBsIknyu0WFXbQV2qBdlxmca9kvwdfm_6wCAG_1Mag2lCLCHGnU_s_mg7Rwjg2Z9PNYoB79Kya37su-rrsXZ7tks8sa2eWS6rMa3VY4y1GeZnFrb15kJDGDgGO7-sxb2eSVITVaTA2urH9znqWNHF8Mfqt0q7NFH0t_EmHtj3Nz7DhNPWIvUL8oKW_ywTNSrjBzXZZ-GozMn4TQ2jC8-gNW2I8lUXhe2zfg9If_CJRvCGIy_OxpVc1O4HwwyLLLXm3JiRG67-5l9BZgYFvSjFjGGPiVYRdHij_C6QEt-qmLoJrSvtzxsEPej0doCT_9OO81XnGrcptPCrCyhGrG1irYLGAu	-1
19	长江水文网	baidu	3	296	418	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=3/tc?ref=www_iphone&lid=9181100296589852313&order=3&fm=alop&tj=www_normal_3_0_10_title&vit=osres&m=8&srd=1&cltj=cloud_title&asres=1&title=%E9%95%BF%E6%B1%9F%E6%B0%B4%E6%96%87%E7%BD%91-%E9%95%BF%E6%B1%9F%E6%B5%81%E5%9F%9F%E9%87%8D%E8%A6%81%E7%AB%99%E5%AE%9E%E6%97%B6%E6%B0%B4%E6%83%85%E8%A1%A8&dict=30&w_qd=IlPT2AEptyoA_ykwqR5byhuu062VpIMpyyO&sec=15310&di=f41f623d184bc08f&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IEQGG_ytO_nSxokDte4qaUbBtU8KhVnuXF5SwdoSRgg2UczDyQDgz7aQ1ffM5xmhLiCO6ebedxsDASMNNra	1098
50	下面痒是怎么回事	baidu	3	388	589	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%401%2Csz%401320_2001%2Cta%40iphone_1_9.1_3_601/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=5727008448358932743&order=3&fm=alop&tj=7tX_3_0_10_l1&w_qd=IlPT2AEptyoA_yk663kote_vCDVVmmsoxjkZfAXV7QUqVuK&sec=15305&di=e5cae62c09cd5b41&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPWxBsIkXCu0WEf7QV2qBdgxmca98Twdfm_gQCAG_1Mag2lQwaHGnV5pqmg7Rwgg2Z9FtMoB7-jeK37su-trsXZcNos8sb5eGS6rbzMVY_DIIbfyoOBR-xcCCeuDuOec2aoqy-eWkHdAO36T6G2q8hCEyJdbtbb7u-1QQDZmXJn3NP7Z1dOYYuIBT9PWOyfIQnvlqHZYZRGmiAh48JE-nzceu_CJHlLTRy_orolIc3SMxjPMoGKNapCigu4JQwyKLDXnutiRWh7a5-9Ai5YPvejEo_GOZFYD3DiwRy6DUd-qWvoKbmvsD2sE1GjYecCSqcOOEgXsVm	-1
40	深圳三和人才市场招聘	baidu	5	606	829	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10117166015873962382&order=5&fm=alop&tj=7tX_5_0_10_l1&w_qd=IlPT2AEptyoA_ykzyx1ctv3w2yxSoI9mzE5XjADVuhkrMRQ6YEhnwW7&sec=15320&di=2d7e11a026afca45&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPLxBsIuH7u0WEebQV2qBdjxmcaanXwdfn55QCAG_1Lag2lQgWHGnU2oKmg7Rwfg2Z9FuAoB79KzK37sBgfrsSoqwZCiR4etD4QqfO_Y9iMY5aCmIqnMIUSCZOrWeaZdciiqytsGZjsMQHdTVGFsSNFFyVcaA8b9uRJ01SDmTcnAwe7FPNKYV7EMCoLWKrfTNXhlxzWZJN2mDMn4Sc25HaYdtSGFktPTKyB7M96F4r9Eqr2FTy0OqpPqgqTCQsiDLfEvuIIKVpnh89UYpl5MsK5NjyKGZs-INXyrBegLUNijl49RrjNkIYQH1K5TdRp_qRtH5w_vG4widjP	-1
24	天气预报济南	baidu	1	0	536	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10257225200257971209&order=1&fm=alop&tj=sg_weather_1_0_10_l1&w_qd=IlPT2AEptyoA_yk57AcbyxS64S2ViGUo5zkYiBa&sec=15312&di=4efba48ad6a0c0d6&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwJhEtRC4r2SiyH5zvwZ7BfcJFcTLuUC2zi2YTe3-6sWt5myi8xLyldhLqHA1PeNUn3rzDVSVhogj8n42-uw2oRtBnRzQ7dPXiwtg_ut0Sbx2snhDIwy0mlqLRVY_DZl71nkrk2JdMSHOcDtbY-1aznEsuKpHdVtGhLT3RsXRURCZvc0jqatRZD2SYpkhzG2u7QsR31FiYJiI1_ajr3d8vjRGvUyFHj-Ik0n9x5Ezpdun9FnZPBwftyO9wMe_3IQmvJJzxHwsmjB3MGfxuX3qXvucDKVpmh8sXYpk1MsK5NoXpGZxJINX6r_DXLXwTjl49RrjNkIZhH1KzTesT_xwCH5wIvFnxidjTwZ7uAev2rA2qIAthPi8giEx4z59xLlWigkrE9loLdSWDPUrRFnWGQRLUO8pd7QqXQhPfABmGZGl4mniGcU0laEzHVcb9FK	-1
24	天气预报济南	baidu	2	592	783.71875	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10257225200257971209&order=2&fm=alop&tj=weather_recommend_2_0_10_l1&w_qd=IlPT2AEptyoA_yk57AcbyxS64S2ViGUo5zkYiBa&sec=15312&di=dcdcda1629627a96&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9DQciOgtAo2lWHO_nEebQVCqbcVq89nbmiLdemBewCGLA2ffhYVPhPkGWU_o_mg7eprg2UJBwFOMTUImOnciR5vpReWsAxcy17HwzDaf3a_2ID8YFaHnFnn1F9HCCKqFOnEcsuf	-1
24	天气预报济南	baidu	3	789.71875	992.4375	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10257225200257971209&order=3&fm=alop&tj=weather_recommend_3_0_10_l1&w_qd=IlPT2AEptyoA_yk57AcbyxS64S2ViGUo5zkYiBa&sec=15312&di=306f8bcce8ad6f2c&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IEQGG_yFL2Su9pEjte4viZQRAYS4g2Sm5HFXwuiPQptlDcSP53mNUn1kPu_5Usm5bjnSltunqhM4LS1B4rdAvLgHmDXBu5eTvkfVvuM2yEMEzAy5qi3Hlcc-xjhuYrREs8fqYg5OmqcnYTlycFZbK69rwQY2KHyH0SruRvNaomzguGyqx2tTACTCEvXdDJChef0raztZIL2iHik-jPuqmIshQVFqH276RSa7K2xyumbaCF55Z896_ZFd298zmgeGDDX-PWwCB9fi	-1
24	天气预报济南	baidu	4	998.4375	1191.15625	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10257225200257971209&order=4&fm=alop&tj=weather_recommend_4_0_10_l1&w_qd=IlPT2AEptyoA_yk57AcbyxS64S2ViGUo5zkYiBa&sec=15312&di=94d2f76611e03abd&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IEBuF_yxZ_zqb95qshbWxBddqZz7qAp7JG5begTCcg26MtXLRODdilgV1mv5xh89gb8zdcenqhNDAUQ1Oytkk4s_HG5Fhowar8h68ewo9_glc_zg9pq37oA1krsWmad1by188gWyzvP8vYJz8T6uRnkLi469SCJWxIOq	-1
24	天气预报济南	baidu	5	1197.15625	1383.875	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=10257225200257971209&order=5&fm=alop&tj=weather_recommend_5_0_10_l1&w_qd=IlPT2AEptyoA_yk57AcbyxS64S2ViGUo5zkYiBa&sec=15312&di=b4377999bf29f04f&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IEBuF_yxZ_zqb95qshbWxBddqZz7qAp7JG5begTCcg26MtXLRODdilgV1mv5xh89gb8zdcenqhNDAUQ1Oytkk4s_HG5Fhowar8h68ewo9_glc_zg9pq37oA1krsWmad1hy188gWyzvP8vYJz8T6uRnkLi469SCJWxIOrYcfn-hC5uGyyrKxThQ5HVeS9IWI59r2Sykq	-1
21	春江花月夜原文	baidu	3	498	620	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=11775846978386621530&order=3&fm=alop&waplogo=1&tj=www_normal_3_0_10_title&vit=osres&waput=1&cltj=normal_title&asres=1&nt=wnor&title=%E6%98%A5%E6%B1%9F%E8%8A%B1%E6%9C%88%E5%A4%9C%E6%98%A5%E6%B1%9F%E8%8A%B1%E6%9C%88%E5%A4%9C%E5%8E%9F%E6%96%87%E5%8F%8A%E7%BF%BB%E8%AF%91%2C%E6%98%A5%E6%B1%9F%E8%8A%B1%E6%9C%88%E5%A4%9C%E5%BC%A0%E8%8B%A5%E8%99%9A&dict=21&w_qd=IlPT2AEptyoA_ykztAMbyhu5JVRVnoon9icYix0S-B7&sec=15311&di=6618c3976cebc645&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiJKi2MLDK8iFWifaitXdNpX8KhVmiOGkL5y8SHh2heuSLuOWMp8R1KfaM7hjsg7Gjb9a	-1
21	春江花月夜原文	baidu	4	630	820	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=11775846978386621530&order=4&fm=alop&tj=7tX_4_0_10_title&w_qd=IlPT2AEptyoA_ykztAMbyhu5JVRVnoon9icYix0S-B7&sec=15311&di=cfd89efc1f5f17c7&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPMxBsIuXyu0WFX8AV2qBdixmcaaXzwdfn66QCAG_1Zag2lQr3HGnU_o_mg7Rwgg2Z9P3MoB7-j5a37su-rrsXZ72Us8sa15mS6rMaAVY4yWmaZnFrbZEkJD-KrGOzIa1mzr89jH98uBu_vCYOBsUJUEyMMcRrh8tJJL23Ip8-zK2bVFNRNZGmHQicMZxfrSdiLjADSYyF2jyIkA5JR-8zdgfSCJTw2TR8sja-LVKfcUtqpIoGALR1svgW4Hb-nWeOFfv69CDEqxldjUisFRv_6RDGLCJF1Euj9wKuiOkxpmGLoM0Pc-GstH4DCWdsU3KgDDn50rm4uptPVtpqxLLK	-1
1	走路软件	baidu	3	421	644	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=12400603186503202999&order=3&fm=alop&tj=7tX_3_0_10_l1&w_qd=IlPT2AEptyoA_ykxyRApz3u51kpTeXO&sec=15304&di=be516f94f478d26b&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPLxBsIuXKu0WEf8AV2qBdlxmca9nvwdfn65gCAG_1Zag2lCLSHGnV6oKmg7Rwfg2Z9POUoB79K5a37sBgfrsSoqwZCiR4etD4QqfO_Y9iMY5aCmIqnMIUSCZPdF0uZcsmmrnxqIZDs3wGtTYG0riNBFiBbbNuq9r1T_cSDmTcnAwe7FPNKY6iFNysRX_vmTdjalxPUZJ61ozMn4Sc25HaYdtS1FktRTKyA7M9wF1WEEq7wFTyHOqojqbPgCQsjDQC5vth6	-1
1	走路软件	baidu	4	654	798	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=12400603186503202999&order=4&fm=alhm&dict=2068&tj=h5_mobile_4_0_10_title&w_qd=IlPT2AEptyoA_ykxyRApz3u51kpTeXO&sec=15304&di=eb202e420602a823&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGti1PSJZ2i45nk_qva02HMIfEFWhACbDU-ywdoTWthUGuHC-LD-il17	-1
37	合肥到成都飞机票	baidu	5	837	1060	0	http://m.baidu.com/from=0/bd_page_type=1/ssid=0/uid=0/pu=usm%402%2Csz%401320_1001%2Cta%40iphone_2_5.0_3_537/baiduid=29DA88E5C8E184805D20DE2E7292896C/w=0_10_/t=iphone/l=1/tc?ref=www_iphone&lid=6411507342307196877&order=5&fm=alop&tj=3OK_5_0_10_l1&w_qd=IlPT2AEptyoA_yk5r3gpuOWxJ6NVipIbxUgMdh4S8eEtWAW&sec=15317&di=49f8547f782fdb55&bdenc=1&nsrc=IlPT2AEptyoA_yixCFOxXnANedT62v3IGtiTNCVUB8SxokDyqRLwZQNAVTzhNDrJB9CbcYPMxBsIuXSu0WFYaAV2qBdjxmcaanXwdfn55QCAGtVAagAU0trxWykfz38Fjvx7wAYz0BJsWicupePLttpuu1vJatNsmA8MdH0Hs_7_YYj5Zo8Vy6fk2ooGEierCO8FdMv9fHIjGJz-3dqhHo4_aScVJCEObwve7uJEPd_JnXhmLNqaE1dQZkmDMXRQSa7KXOjfoRzUU--2j-Mh0n-_5EjpdtSJFnVUTKyA7M9yF4u4ExX_FTyGOxBYqbTeCQseDQ4FvuECKVpph5MSYpl5MsK6NoWWGSR2	-1
